"grupa";"parametr_1";"parametr_2";"metoda";"r";"p_value";"istotna";"kierunek";"sila"
"CHOR1";"ERY";"LEU";"Spearman";0,06656;0,7519;"NIE";"dodatnia";"brak lub bardzo slaba"
"CHOR1";"PLT";"HGB";"Spearman";-0,18154;0,38514;"NIE";"ujemna";"brak lub bardzo slaba"
"CHOR1";"PLT";"HCT";"Spearman";-0,12007;0,56753;"NIE";"ujemna";"brak lub bardzo slaba"
"CHOR1";"PLT";"MCHC";"Spearman";-0,22985;0,26903;"NIE";"ujemna";"slaba"
"CHOR1";"PLT";"MON";"Spearman";-0,05312;0,80091;"NIE";"ujemna";"brak lub bardzo slaba"
"CHOR1";"PLT";"LEU";"Spearman";0,11769;0,57528;"NIE";"dodatnia";"brak lub bardzo slaba"
"CHOR1";"HGB";"HCT";"Spearman";0,93618;0;"TAK";"dodatnia";"bardzo silna"
"CHOR1";"HGB";"MCHC";"Spearman";0,58357;0,0022;"TAK";"dodatnia";"silna"
"CHOR1";"HGB";"MON";"Spearman";-0,26538;0,1998;"NIE";"ujemna";"slaba"
"CHOR1";"HGB";"LEU";"Spearman";0,02197;0,91698;"NIE";"dodatnia";"brak lub bardzo slaba"
"CHOR1";"HCT";"MCHC";"Spearman";0,41752;0,03783;"TAK";"dodatnia";"umiarkowana"
"CHOR1";"HCT";"MON";"Spearman";-0,27248;0,18758;"NIE";"ujemna";"slaba"
"CHOR1";"HCT";"LEU";"Spearman";-0,03964;0,85078;"NIE";"ujemna";"brak lub bardzo slaba"
"CHOR1";"MCHC";"MON";"Spearman";0,12254;0,55953;"NIE";"dodatnia";"brak lub bardzo slaba"
"CHOR1";"MCHC";"LEU";"Spearman";0,16737;0,42389;"NIE";"dodatnia";"brak lub bardzo slaba"
"CHOR1";"MON";"LEU";"Spearman";0,37452;0,06511;"NIE";"dodatnia";"umiarkowana"
"CHOR2";"wiek";"hsCRP";"Spearman";-0,10035;0,63318;"NIE";"ujemna";"brak lub bardzo slaba"
"CHOR2";"wiek";"ERY";"Spearman";0,13916;0,50705;"NIE";"dodatnia";"brak lub bardzo slaba"
"CHOR2";"wiek";"PLT";"Spearman";-0,20699;0,32082;"NIE";"ujemna";"slaba"
"CHOR2";"wiek";"HGB";"Spearman";0,28342;0,16978;"NIE";"dodatnia";"slaba"
"CHOR2";"wiek";"HCT";"Spearman";0,05643;0,78878;"NIE";"dodatnia";"brak lub bardzo slaba"
"CHOR2";"wiek";"MCHC";"Spearman";0,0961;0,64771;"NIE";"dodatnia";"brak lub bardzo slaba"
"CHOR2";"wiek";"MON";"Spearman";-0,05579;0,7911;"NIE";"ujemna";"brak lub bardzo slaba"
"CHOR2";"wiek";"LEU";"Spearman";-0,29686;0,14958;"NIE";"ujemna";"slaba"
"CHOR2";"hsCRP";"ERY";"Spearman";0,10044;0,63285;"NIE";"dodatnia";"brak lub bardzo slaba"
"CHOR2";"hsCRP";"PLT";"Spearman";0,23407;0,26009;"NIE";"dodatnia";"slaba"
"CHOR2";"hsCRP";"HGB";"Spearman";-0,03202;0,87925;"NIE";"ujemna";"brak lub bardzo slaba"
"CHOR2";"hsCRP";"HCT";"Spearman";-0,01002;0,9621;"NIE";"ujemna";"brak lub bardzo slaba"
"CHOR2";"hsCRP";"MCHC";"Spearman";-0,10954;0,60219;"NIE";"ujemna";"brak lub bardzo slaba"
"CHOR2";"hsCRP";"MON";"Spearman";-0,00308;0,98834;"NIE";"ujemna";"brak lub bardzo slaba"
